amphioxus	NW_023365762.1	2523	366687
amphioxus	NW_023365763.1	7	76745
amphioxus	NW_023365764.1	6009	193130
amphioxus	NW_023365765.1	8955	122944
amphioxus	NW_023365766.1	22584	93004
amphioxus	NW_023365767.1	24506	58113
amphioxus	NW_023365768.1	6632	76466
amphioxus	NW_023365769.1	13071	141974
amphioxus	NW_023365771.1	33284	69780
amphioxus	NW_023365772.1	3707	18345
amphioxus	NW_023365773.1	1062	728398
amphioxus	NW_023365774.1	1192	42106
amphioxus	NW_023365775.1	5414	295675
amphioxus	NW_023365776.1	14180	91617
amphioxus	NW_023365777.1	107030	597583
amphioxus	NW_023365778.1	310	67087
amphioxus	NW_023365779.1	11546	688186
amphioxus	NW_023365781.1	10625	186962
amphioxus	NW_023365782.1	914	117250
amphioxus	NW_023365785.1	312	399259
amphioxus	NW_023365786.1	552	111700
amphioxus	NW_023365787.1	25	69932
amphioxus	NW_023365788.1	3804	384398
amphioxus	NW_023365789.1	5562	564500
amphioxus	NW_023365790.1	37	19545
amphioxus	NW_023365791.1	8	306319
amphioxus	NW_023365792.1	101275	106572
amphioxus	NW_023365793.1	35634	354695
amphioxus	NW_023365794.1	31658	164555
amphioxus	NW_023365795.1	181	141283
amphioxus	NW_023365798.1	31332	85781
amphioxus	NW_023365800.1	4262	70706
amphioxus	NW_023365801.1	45	58816
amphioxus	NW_023365802.1	17404	163443
amphioxus	NW_023365803.1	32341	178157
amphioxus	NW_023365805.1	2747	49961
amphioxus	NW_023365806.1	549	49483
amphioxus	NW_023365807.1	18263	35526
amphioxus	NW_023365808.1	43183	46186
amphioxus	NW_023365809.1	38658	46888
amphioxus	NW_023365810.1	4704	16019
amphioxus	NW_023365812.1	17795	45830
amphioxus	NW_023365813.1	5968	42649
amphioxus	NW_023365814.1	5932	12304
amphioxus	NW_023365816.1	9370	22160
amphioxus	NW_023365817.1	3004	100229
amphioxus	NW_023365818.1	6149	14288
amphioxus	NW_023365820.1	39174	602077
amphioxus	NW_023365821.1	10397	20567
amphioxus	NW_023365822.1	12996	29240
amphioxus	NW_023365825.1	785	35514
amphioxus	NW_023365827.1	22537	29521
amphioxus	NW_023365828.1	89	15387
amphioxus	NW_023365829.1	11766	21053
amphioxus	NW_023365830.1	87	11777
amphioxus	NW_023365831.1	15413	26737
amphioxus	NW_023365833.1	10183	31613
amphioxus	NW_023365834.1	3549	32384
amphioxus	NW_023365835.1	14651	20859
amphioxus	NW_023365836.1	6455	30754
amphioxus	NW_023365837.1	2295	201038
amphioxus	NW_023365838.1	11692	19774
amphioxus	NW_023365842.1	1892	15874
amphioxus	NW_023365844.1	14511	17689
amphioxus	NW_023365846.1	991	3309
amphioxus	NW_023365847.1	554	24877
amphioxus	NW_023365848.1	1346	23171
amphioxus	NW_023365850.1	2381	26108
amphioxus	NW_023365851.1	24860	26020
amphioxus	NW_023365852.1	1257	21779
amphioxus	NW_023365855.1	11056	18548
amphioxus	NW_023365856.1	7997	16369
amphioxus	NW_023365857.1	1296	9940
amphioxus	NW_023365858.1	1434	18404
amphioxus	NW_023365859.1	2201	5992
amphioxus	NW_023365860.1	2895	33809
amphioxus	NW_023365861.1	1864	21952
amphioxus	NW_023365863.1	4170	18774
amphioxus	NW_023365864.1	11702	55749
amphioxus	NW_023365866.1	14738	21626
amphioxus	NW_023365867.1	1408	12770
amphioxus	NW_023365868.1	2881	22315
amphioxus	NW_023365869.1	110	22799
amphioxus	NW_023365870.1	6887	22513
amphioxus	NW_023365871.1	2316	10864
amphioxus	NW_023365873.1	6644	20705
amphioxus	NW_023365875.1	9382	9829
amphioxus	NW_023365876.1	1304	21272
amphioxus	NW_023365879.1	7447	19044
amphioxus	NW_023365880.1	14339	19729
amphioxus	NW_023365881.1	49	332681
amphioxus	NW_023365882.1	8515	14523
amphioxus	NW_023365883.1	71	12119
amphioxus	NW_023365884.1	8756	15639
amphioxus	NW_023365885.1	7966	18873
amphioxus	NW_023365886.1	1128	235391
amphioxus	NW_023365887.1	7680	24953
amphioxus	NW_023365888.1	246	4574
amphioxus	NW_023365890.1	2814	9727
amphioxus	NW_023365891.1	33036	125785
amphioxus	NW_023365892.1	6906	14276
amphioxus	NW_023365893.1	2850	14194
amphioxus	NW_023365894.1	3497	6333
amphioxus	NW_023365895.1	7234	13855
amphioxus	NW_023365897.1	342	9064
amphioxus	NW_023365900.1	4140	11246
amphioxus	NW_023365902.1	10935	13041
amphioxus	NW_023365904.1	8652	12486
amphioxus	NW_023365905.1	485	12114
amphioxus	NW_023365906.1	7	12573
amphioxus	NW_023365908.1	5	10865
amphioxus	NW_023365910.1	245	2643
amphioxus	NW_023365913.1	4911	6154
amphioxus	NW_023365914.1	1610	4912
amphioxus	NW_023365915.1	6138	8868
amphioxus	NW_023365918.1	1063	40751
amphioxus	NW_023365919.1	4984	8502
amphioxus	NW_023365920.1	4856	319803
amphioxus	NW_023365923.1	36	1823
amphioxus	NW_023365924.1	122	4246
amphioxus	NW_023365927.1	23937	24404
amphioxus	NW_023365930.1	490	3309
amphioxus	NW_023365931.1	3810	70506
amphioxus	NW_023365934.1	81	2245
amphioxus	NW_023365935.1	12	20887
amphioxus	NW_023365936.1	5096	186307
amphioxus	NW_023365937.1	832	4226
amphioxus	NW_023365945.1	3267	5293
amphioxus	NW_023365947.1	1038	5658
amphioxus	NW_023365948.1	449	4600
amphioxus	NW_023365951.1	39	3817
amphioxus	NW_023365955.1	6004	106340
amphioxus	NW_023365958.1	428	4917
amphioxus	NW_023365959.1	644	4242
amphioxus	NW_023365961.1	2503	3401
amphioxus	NW_023365963.1	222	4390
amphioxus	NW_023365964.1	103	4424
amphioxus	NW_023365965.1	177	4332
amphioxus	NW_023365966.1	439	4776
amphioxus	NW_023365968.1	1648	4689
amphioxus	NW_023365969.1	2323	3114
amphioxus	NW_023365970.1	83	4241
amphioxus	NW_023365971.1	323	4318
amphioxus	NW_023365975.1	7	3684
amphioxus	NW_023365976.1	251	4423
amphioxus	NW_023365977.1	5458	29837
amphioxus	NW_023365979.1	155	2084
amphioxus	NW_023365980.1	10495	32679
amphioxus	NW_023365983.1	63	3417
amphioxus	NW_023365987.1	283	3849
chicken	1	56535	196313359
chicken	10	184528	20381422
chicken	11	39457	19579453
chicken	12	45398	20057160
chicken	13	144842	17856274
chicken	14	52727	15207698
chicken	15	48025	12654760
chicken	16	32403	2662490
chicken	17	27080	11051276
chicken	18	647737	11559951
chicken	19	3515	10430828
chicken	2	48630	149529459
chicken	20	349874	14230744
chicken	21	26703	6790721
chicken	22	50769	4647073
chicken	23	202141	6143548
chicken	24	59338	6398149
chicken	25	1097	2973262
chicken	26	59357	5286066
chicken	27	7199	5201359
chicken	28	405967	5384831
chicken	29	2042	677943
chicken	3	60381	110582397
chicken	30	1668	754895
chicken	31	59423	2426845
chicken	32	13974	79958
chicken	33	62806	3800446
chicken	34	16155	3419166
chicken	35	3910	553344
chicken	36	3156	320867
chicken	37	27943	81688
chicken	38	1	667150
chicken	39	4792	174165
chicken	4	22253	90810611
chicken	5	35140	59267042
chicken	6	69385	36156087
chicken	7	106585	36325430
chicken	8	55919	29519527
chicken	9	119776	23668145
chicken	MT	2824	15483
chicken	W	127097	9075367
chicken	Z	1530	86025273
dog	1	48283	122672983
dog	10	18798	70325465
dog	11	135469	75507534
dog	12	7605	73474687
dog	13	27795	63767594
dog	14	124539	60998293
dog	15	66561	65142214
dog	16	71094	61970299
dog	17	147401	65403729
dog	18	83513	56835393
dog	19	33413	55244679
dog	2	236829	86143996
dog	20	32083	58838997
dog	21	609104	52087186
dog	22	104790	62064929
dog	23	53569	53160310
dog	24	75012	48811495
dog	25	120070	51829933
dog	26	70475	40505350
dog	27	14028	46227184
dog	28	235772	41832892
dog	29	22025	41964052
dog	3	42909	92848350
dog	30	14657	40391306
dog	31	98938	39482530
dog	32	89053	38826048
dog	33	29998	31621700
dog	34	10245	42160868
dog	35	25908	26822406
dog	36	398153	30921684
dog	37	46310	30912781
dog	38	67702	23994263
dog	4	80493	88999454
dog	5	680369	87890018
dog	6	132462	77996353
dog	7	36715	81028280
dog	8	50999	75218270
dog	9	25244	61965467
dog	X	25125	127036210
